H1,H2,H3,H4,D1,D2,D3,D4,Cost,Fidelity,V1,V2,V3,V4
0.35064349711063986,0.19282608736206377,0.44490346594992386,0.01162694957737251,0.46749168847996037,0.0701574659195416,0.21353737219766483,0.2488134734028333,0.6527275705766058,0.3472724294233942,-292.46371485165423,2610.4698495893595,-166.29753480054183,2442.9533118531294
0.341388155988438,0.2024642969576026,0.44396470960088974,0.012182837453069596,0.43731805611140806,0.098831960174199,0.2317380824375312,0.23211190127686182,0.6644176021056527,0.3355823978943473,-298.9274468602867,2049.6770588000045,-564.7729648173511,1924.5515164703681
0.3681907611725506,0.17578138692985068,0.44378527369772447,0.01224257819987411,0.30249039931066796,0.22584557987637577,0.18569986807638414,0.2859641527365722,0.6584177474629151,0.3415822525370849,-831.1015624655306,1791.8710223511334,-750.5908464163441,1786.1992001890255
0.28845173103796035,0.2527977181756312,0.4302027176536857,0.02854783313272282,0.22956569082450992,0.29188177737207766,0.15353485464252095,0.3250176771608916,0.7546226070039941,0.24537739299600594,-1639.719224822822,1356.9451075822312,-858.2658767624879,943.7345224417356
0.3109137232017531,0.23144078382947375,0.4308636850153581,0.026781807953415115,0.061424012383298546,0.45335476246589057,0.16145004943395078,0.32377117571686004,0.8179408603959303,0.18205913960406975,-487.73202306491294,2392.019143681935,-2084.768653730163,40.556909226057996
0.4100308745334669,0.13335722798095107,0.3867377440047494,0.06987415348083262,0.12974989707308623,0.3886037811483496,0.30882114013574696,0.17282518164281738,0.699543443334723,0.30045655666527704,-1220.4450926302625,494.4460879089522,-3557.638404198172,-1013.4444400050015
0.22012151087269077,0.3065931765308455,0.14964509457475636,0.3236402180217074,0.007830810901074643,0.5028132767983313,0.14404783545975117,0.3453080768408428,0.982955974675786,0.01704402532421401,-1371.1401482658482,502.29773923950046,-3443.391944634134,-827.9167742463679
0.22365006813589516,0.3027394620094688,0.14334053953287762,0.33026993032175855,0.009568756262586138,0.5050745578017187,0.12489800236896838,0.3604586835667268,0.9839195208207725,0.016080479179227527,-1297.9795399697514,925.003243069446,-2829.347607773836,-167.59367732360215
0.25748626929388413,0.2740022157577129,0.2085230529914768,0.25998846195692615,0.00866024761537938,0.5049289942101833,0.11918739001348992,0.3672233681609473,0.9571848131472538,0.04281518685274627,-1264.3986327468106,940.8025524724321,-2933.6200627126614,-403.4135764738269
0.2627707186145351,0.26839657453026683,0.1990109481183458,0.2698217587368522,0.005941973282822293,0.5092495978726442,0.13852580886758173,0.3462826199769517,0.9584478285623338,0.04155217143766619,-1272.2104606177177,885.6331061045789,-3091.676875323824,-577.4005600581113
0.2583388067357448,0.27151238786639814,0.1807547210460889,0.28939408435176817,0.00584453319532494,0.5097413087416269,0.14599898268491168,0.33841517537813637,0.965059568457626,0.03494043154237402,-1272.2104606177177,885.6331061045789,-3091.676875323824,-577.4005600581113
