Port1_H (%),Port2_H (%),Port3_H (%),Port4_H (%),Port1_D (%),Port2_D (%),Port3_D (%),Port4_D (%),Cost,Fidelity,V1,V2,V3,V4
39.04506906,12.33576807,9.312498061,39.30666481,34.7780962,17.78303177,17.18326961,30.25560241,0.274914362,0.725085638,128,-4228,3381,-1425
43.37633264,8.490882494,13.96216708,34.17061779,35.36194559,17.52815284,15.83930609,31.27059548,0.168157136,0.831842864,628,-4228,3381,-1425
30.36232723,20.42372982,3.311578517,45.90236443,35.6756142,17.16609291,19.63683355,27.52145934,0.478814119,0.521185881,-372,-4228,3381,-1425
35.62540201,15.49029804,7.114752122,41.76954782,40.41436589,12.44617116,22.16847248,24.97099048,0.316848965,0.683151035,128,-3728,3381,-1425
34.27615654,16.71445105,4.974988917,44.03440349,24.87505886,27.73729574,13.04259825,34.34504716,0.504823254,0.495176746,128,-4728,3381,-1425
44.50872291,7.335760319,12.86604699,35.28946978,28.58910973,24.09354095,16.63415069,30.68319863,0.208721388,0.791278612,128,-4228,3881,-1425
32.5350005,18.47356946,4.286973686,44.70445635,31.36869338,20.96507542,15.71435027,31.95188093,0.460962332,0.539037668,128,-4228,2881,-1425
35.61048921,15.56244895,5.75675756,43.07030428,24.76858398,27.44107865,13.30764413,34.48269324,0.483078592,0.516921408,128,-4228,3381,-925
41.89405501,10.0334987,11.63462523,36.43782105,39.9400441,13.00195145,23.86758841,23.19041604,0.193685565,0.806314435,128,-4228,3381,-1925
48.51491153,4.656667657,21.34397206,25.48444875,36.22089903,16.26519318,16.95349434,30.56041346,0.163848158,0.836151842,1128,-4228,3381,-1425
41.38333704,10.59315942,10.61024734,37.41325621,35.23477984,17.71216145,19.09728205,27.95577666,0.225861886,0.774138114,128,-4228,3381,-1425
43.39434462,9.108212065,15.90864291,31.5888004,41.23350168,12.04897818,22.85863106,23.85888908,0.20213466,0.79786534,628,-3728,3381,-1425
46.01349301,6.370671376,14.7090696,32.90676601,29.65527915,23.07289111,13.90599332,33.36583643,0.157183662,0.842816338,628,-4728,3381,-1425
49.1316123,3.873120565,21.85551357,25.13975357,34.80719526,18.27128238,18.46583835,28.45568401,0.139759364,0.860240636,628,-4228,3881,-1425
40.90354509,10.89835498,10.95370271,37.24439721,36.43558131,16.13339262,17.5479223,29.88310377,0.223787048,0.776212952,628,-4228,2881,-1425
44.15582106,7.823263616,13.0193099,35.00160543,29.24707988,23.43055151,13.57946035,33.74290826,0.217067257,0.782932743,628,-4228,3381,-925
44.74155135,7.433802841,17.74234577,30.08230004,40.50836245,12.56737827,22.80051661,24.12374267,0.194122447,0.805877553,628,-4228,3381,-1925
50.19661754,3.100804985,27.70603979,18.99653769,36.04957827,16.67631878,18.14680567,29.12729728,0.405412958,0.594587042,1128,-4228,3881,-1425
46.4858414,5.687490656,16.46344421,31.36322374,34.04511898,18.95635601,19.63608287,27.36244214,0.109641061,0.890358939,128,-4228,3881,-1425
46.94725072,5.881798802,22.03992765,25.13102282,39.37848188,14.07858377,24.40388497,22.13904939,0.241621208,0.758378792,628,-3728,3881,-1425
50.00085383,2.903871675,20.69080656,26.40446793,30.23139795,21.9158455,14.1272695,33.72548704,0.056269432,0.943730568,628,-4728,3881,-1425
51.08708781,2.750496817,30.2838542,15.87856118,32.86515316,19.65783388,19.06933993,28.40767303,0.421971469,0.578028531,628,-4228,4381,-1425
47.64411885,5.080533266,18.88901447,28.38633341,35.67215568,17.16442877,18.70377867,28.45963689,0.111566943,0.888433057,628,-4228,3381,-1425
50.62554956,2.309775395,21.01695289,26.04772215,27.70791914,25.0670895,14.68601311,32.53897825,0.046630056,0.953369944,628,-4228,3881,-925
47.72461949,5.801529092,26.10612868,20.36772274,38.82872895,13.99758696,23.38046661,23.79321748,0.33784232,0.66215768,628,-4228,3881,-1925
51.26463665,1.947681251,22.29040111,24.49728098,28.58955514,23.86752563,14.88357971,32.65933952,0.042742238,0.957257762,728,-4228,3881,-925
50.28485304,2.726071141,20.25056689,26.73850893,28.22955356,24.55296869,14.96938679,32.24809096,0.05538397,0.94461603,528,-4228,3881,-925
50.75055618,2.413463894,21.53479819,25.30118174,29.54997156,23.00154812,16.08262988,31.36585044,0.046494455,0.953505545,628,-4128,3881,-925
50.92052881,2.238169149,21.20278479,25.63851726,27.17961325,25.57662716,13.93616478,33.3075948,0.044779521,0.955220479,628,-4328,3881,-925
51.4680107,1.829942243,22.70060242,24.00144464,27.8934184,24.26619824,15.226558,32.61382535,0.036047359,0.963952641,628,-4228,3981,-925
50.42799479,2.674679193,20.68100784,26.21631818,28.44255909,24.2420124,14.95094587,32.36448264,0.050798677,0.949201323,628,-4228,3781,-925
50.70333808,2.346586416,20.90434442,26.04573108,26.78974416,25.6193771,14.426752,33.16412674,0.055136983,0.944863017,628,-4228,3881,-825
50.84574274,2.285886147,22.06249355,24.80587756,28.92471303,23.23106173,15.70250928,32.14171596,0.048644501,0.951355499,628,-4228,3881,-1025
51.77828156,1.594217723,23.50431684,23.12318388,27.73299503,24.71705784,14.87636323,32.67358389,0.041827014,0.958172986,728,-4228,3981,-925
50.88700819,2.276705822,21.41444968,25.42183631,28.04568919,24.80082436,15.02678653,32.12669992,0.044142235,0.955857765,528,-4228,3981,-925
51.28809387,2.001780981,22.62124788,24.08887726,28.64649769,23.67944575,16.03878748,31.63526908,0.041988252,0.958011748,628,-4128,3981,-925
51.31240296,1.757609346,21.9999834,24.93000429,26.98198982,25.52548332,14.05963266,33.4328942,0.03753061,0.96246939,628,-4328,3981,-925
51.76718912,1.434017939,23.41286625,23.3859267,27.53221482,24.87374338,15.17194115,32.42210064,0.035275271,0.964724729,628,-4228,4081,-925
50.86425492,2.155324607,21.49377445,25.48664602,27.66872259,24.58040923,15.10042286,32.65044532,0.040432991,0.959567009,628,-4228,3881,-925
51.23487193,1.838508554,21.8155243,25.11109522,26.69380816,25.74604565,14.51478258,33.04536361,0.035896805,0.964103195,628,-4228,3981,-825
51.34608477,1.842923608,23.0148068,23.79618483,29.05149154,23.80501363,15.50845144,31.63504339,0.046839805,0.953160195,628,-4228,3981,-1025
52.05008172,1.188834543,24.42426007,22.33682366,28.04685041,24.27638957,15.29621919,32.38054083,0.046892923,0.953107077,728,-4228,4081,-925
51.27229432,1.722196696,22.39147751,24.61403147,27.52288473,25.33926137,15.14934832,31.98850557,0.032525153,0.967474847,528,-4228,4081,-925
51.5881881,1.482689714,23.64015255,23.28896964,28.45882128,24.12775467,16.1442141,31.26920994,0.04520432,0.95479568,628,-4128,4081,-925
51.68573463,1.368266498,23.12441173,23.82158714,27.49882953,25.03307547,14.3157534,33.1523416,0.0261622,0.9738378,628,-4328,4081,-925
52.09963544,1.137980144,24.537747,22.22463741,26.99135986,25.72318644,15.08775994,32.19769376,0.043889015,0.956110985,628,-4228,4181,-925
51.33150714,1.698572215,22.60393323,24.36598742,27.53731979,24.98168156,15.21674168,32.26425698,0.032706201,0.967293799,628,-4228,3981,-925
51.69097845,1.393845871,22.90945475,24.00572093,26.23474969,25.83907276,14.77668192,33.14949562,0.027298078,0.972701922,628,-4228,4081,-825
51.73990629,1.446190944,24.15047282,22.66342995,28.67338686,23.64171591,15.93231903,31.7525782,0.07602377,0.92397623,628,-4228,4081,-1025
52.14275603,1.111204476,24.33850972,22.40752978,26.71923398,25.83592428,14.23062594,33.2142158,0.040907618,0.959092382,728,-4328,4081,-925
51.42071653,1.649066328,22.30170794,24.6285092,27.10888142,25.10796981,14.58517344,33.19797533,0.033825539,0.966174461,528,-4328,4081,-925
51.78609064,1.413230908,23.5512047,23.24947375,27.10285412,25.22406213,15.23053039,32.44255335,0.035579977,0.964420023,628,-4228,4081,-925
51.82001489,1.363633097,22.98780653,23.82854548,26.09919751,26.57829723,13.27171827,34.05078699,0.026891924,0.973108076,628,-4428,4081,-925
51.9990063,1.050739465,24.21001421,22.74024002,26.84565008,25.75573364,14.34081803,33.05779826,0.023233355,0.976766645,628,-4328,4181,-925
51.20471237,1.6151391,22.33109046,24.84905807,27.19241819,25.60635904,14.13018444,33.07103833,0.030331094,0.969668906,628,-4328,3981,-925
51.62738487,1.336534356,22.61414263,24.42193814,25.35921602,27.00448026,13.88148164,33.75482208,0.030450119,0.969549881,628,-4328,4081,-825
